City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Dhidhdhoo,MV,2021-03-23 15:47:18,6.8833,73.1,83.21,73,74,8.97
256,Zhicheng,CN,2021-03-23 15:47:19,30.2956,111.5047,52.0,77,0,2.39
257,Saurimo,AO,2021-03-23 15:47:19,-9.6608,20.3916,86.0,48,40,1.74
258,Forest Grove,US,2021-03-23 15:47:19,45.5198,-123.1107,37.99,100,1,0.89
259,Laguna,US,2021-03-23 15:47:20,38.421,-121.4238,52.0,49,1,20.71
260,Ponta Do Sol,PT,2021-03-23 15:47:20,32.6667,-17.1,64.4,52,20,10.36
261,Vardo,NO,2021-03-23 15:47:20,70.3705,31.1107,35.6,69,0,25.32
262,Oruro,BO,2021-03-23 15:43:21,-17.9833,-67.15,57.2,58,40,6.91
263,Glinde,DE,2021-03-23 15:47:21,53.55,10.2,45.0,76,75,8.05
264,Hami,CN,2021-03-23 15:47:21,42.8,93.45,50.92,26,55,5.17
265,Majene,ID,2021-03-23 15:47:22,-3.5403,118.9707,78.37,83,36,3.24
266,Soyo,AO,2021-03-23 15:47:22,-6.1349,12.3689,84.2,84,75,6.91
267,Belomorsk,RU,2021-03-23 15:47:22,64.5232,34.7668,34.41,93,100,14.23
268,Dergachi,RU,2021-03-23 15:47:23,51.2328,48.7659,32.4,98,100,15.08
269,Obidos,BR,2021-03-23 15:47:23,-1.9175,-55.5181,86.7,57,100,5.93
270,Roma,US,2021-03-23 15:46:56,43.2128,-75.4557,59.0,33,1,6.91
271,Inta,RU,2021-03-23 15:47:23,66.0317,60.1659,22.68,96,100,9.06
272,Kropotkin,RU,2021-03-23 15:47:24,45.4375,40.5756,42.01,76,100,8.68
273,Avarua,CK,2021-03-23 15:47:24,-21.2078,-159.775,78.8,89,75,6.91
274,Canberra,AU,2021-03-23 15:47:24,-35.2835,149.1281,61.0,100,75,17.27
275,Talpa,MX,2021-03-23 15:47:25,28.8257,-111.6257,62.01,31,0,5.99
276,Tazovskiy,RU,2021-03-23 15:47:25,67.4667,78.7,18.32,94,100,13.02
277,Melfort,CA,2021-03-23 15:47:25,52.8667,-104.6177,6.8,72,80,16.11
278,Presidencia Roque Saenz Pena,AR,2021-03-23 15:47:26,-26.7852,-60.4388,82.99,63,59,2.15
279,Port Hardy,CA,2021-03-23 15:47:26,50.6996,-127.4199,42.8,87,90,5.75
280,Saldanha,ZA,2021-03-23 15:47:26,-33.0117,17.9442,95.0,18,9,14.97
281,Road Town,VG,2021-03-23 15:44:24,18.4167,-64.6167,82.4,65,40,9.22
282,Sharkan,RU,2021-03-23 15:47:27,57.2989,53.8712,32.0,83,98,6.73
283,Khandyga,RU,2021-03-23 15:47:27,62.6667,135.6,-12.06,99,100,2.53
284,Dauriya,RU,2021-03-23 15:47:28,49.9333,116.8667,27.77,71,14,7.52
285,Charlestown,AU,2021-03-23 15:42:37,-32.95,151.6667,70.0,96,19,8.01
286,Lasa,IT,2021-03-23 15:47:28,46.6166,10.7002,62.6,49,0,9.22
287,Ngunguru,NZ,2021-03-23 15:47:28,-35.6167,174.5,55.99,94,40,1.01
288,Aripuana,BR,2021-03-23 15:47:29,-9.1667,-60.6333,71.74,96,100,3.56
289,Camacha,PT,2021-03-23 15:47:29,33.0833,-16.3333,66.2,52,20,12.66
290,Concepcion,CL,2021-03-23 15:43:42,-36.827,-73.0498,62.6,63,0,5.75
291,Tirumullaivasal,IN,2021-03-23 15:47:30,11.2333,79.8333,79.79,74,10,9.93
292,Turukhansk,RU,2021-03-23 15:47:30,65.8167,87.9833,10.74,95,100,9.04
